Piazzata,Chiuse,Dettagli,Tipo,Quota,Puntata (€),Responsabilità (€),Profitto/Perdita,Stato
11-feb-26 22:39:25,11-feb-26 23:53:07,Genesis Huracan - CD Motagua Pareggio o ospite-Doppia Chance | ID scommessa Betfair 1:418183046749 | ID Scommessa AdM bc0000000023e0914e0a,Punta,1.29,"7,00", -- ," 2,02 ",Vinta
11-feb-26 21:18:14,11-feb-26 23:12:08,Sunderland - Liverpool Liverpool-Esito Finale | ID scommessa Betfair 1:418169794445 | ID Scommessa AdM bc0000000062aa10e808,Punta,1.85,"8,00", -- ," 6,80 ",Vinta
11-feb-26 21:28:20,11-feb-26 23:00:57,Swindon - Newport County Swindon-Esito Finale | ID scommessa Betfair 1:418171710537 | ID Scommessa AdM bc000000004077663209,Punta,1.80,"5,00", -- ," 4,00 ",Vinta
11-feb-26 21:04:14,11-feb-26 23:00:31,Bologna - Lazio Casa o pareggio-Doppia Chance | ID scommessa Betfair 1:418166443458 | ID Scommessa AdM bc0000000040747e1f09,Punta,1.31,"4,00", -- ," 1,24 ",Vinta
11-feb-26 21:01:25,11-feb-26 22:58:20,NEC Nijmegen - Utrecht NEC Nijmegen-Esito Finale | ID scommessa Betfair 1:418165788644 | ID Scommessa AdM bc0000000040741e5709,Punta,1.74,"8,00", -- ," -8,00 ",Persa
11-feb-26 21:14:25,11-feb-26 22:56:24,"Athletic Bilbao - Real Sociedad Over 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418168911040 | ID Scommessa AdM bc0000000023d8d6210a",Punta,3.00,"5,00", -- ," -5,00 ",Persa
11-feb-26 22:34:33,11-feb-26 22:56:07,Paris FC (F) -  Real Madrid (F) Casa o pareggio-Doppia Chance | ID scommessa Betfair 1:418182565123 | ID Scommessa AdM bc0000000023e04d370a,Punta,4.50,"7,00", -- ," -7,00 ",Persa
11-feb-26 21:26:21,11-feb-26 22:53:24,Motherwell - Rangers Rangers-Esito Finale | ID scommessa Betfair 1:418171338931 | ID Scommessa AdM bc0000000062aaee9608,Punta,1.64,"10,00", -- ," -10,00 ",Persa
11-feb-26 21:20:14,11-feb-26 22:48:25,"Bayern Monaco - RB Lipsia Over 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418170201960 | ID Scommessa AdM bc0000000062aa4b5708",Punta,1.75,"3,50", -- ," -3,50 ",Persa
11-feb-26 21:57:25,11-feb-26 22:41:35,"Sutton Utd - Braintree Over 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418176862299 | ID Scommessa AdM bc0000000062adf4c708",Punta,2.31,"5,00", -- ," -5,00 ",Persa
11-feb-26 22:32:33,11-feb-26 22:41:15,"York City - Hartlepool Under 3,5 goal-Over/Under 3,5 gol | ID scommessa Betfair 1:418182369887 | ID Scommessa AdM bc00000000407d28d209",Punta,1.29,"8,00", -- ," -8,00 ",Persa
11-feb-26 21:00:20,11-feb-26 22:40:46,"Charlton - Stoke Over 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418165526443 | ID Scommessa AdM bc0000000062a7b4db08",Punta,3.15,"4,00", -- ," -4,00 ",Persa
11-feb-26 22:10:36,11-feb-26 22:40:32,"Grimsby - Accrington Over 1,5 goal-Over/Under 1,5 gol | ID scommessa Betfair 1:418179099036 | ID Scommessa AdM bc00000000407b635309",Punta,1.69,"10,00", -- ," -10,00 ",Persa
11-feb-26 21:00:29,11-feb-26 22:39:46,"Falkirk - Dundee Over 1,5 goal-Over/Under 1,5 gol | ID scommessa Betfair 1:418165560032 | ID Scommessa AdM bc000000004073fe7409",Punta,1.56,"10,00", -- ," -10,00 ",Persa
11-feb-26 22:33:06,11-feb-26 22:39:13,Boreham Wood - Yeovil Boreham Wood-Esito Finale | ID scommessa Betfair 1:418182421751 | ID Scommessa AdM bc0000000023e039170a,Punta,2.92,"7,50", -- ," 14,40 ",Vinta
11-feb-26 21:34:21,11-feb-26 22:37:51,Kilmarnock - St. Mirren Kilmarnock-Esito Finale | ID scommessa Betfair 1:418172835239 | ID Scommessa AdM bc0000000023db0d3b0a,Punta,1.52,"10,00", -- ," 5,20 ",Vinta
11-feb-26 21:51:18,11-feb-26 22:36:25,"Celtic - Livingston Over 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418175849736 | ID Scommessa AdM bc000000004079a4c909",Punta,1.70,"3,50", -- ," 2,45 ",Vinta
11-feb-26 20:42:13,11-feb-26 22:35:23,Crystal Palace - Burnley Crystal Palace-Esito Finale | ID scommessa Betfair 1:418161603190 | ID Scommessa AdM bc000000004071ab3109,Punta,1.52,"5,00", -- ," -5,00 ",Persa
11-feb-26 20:44:15,11-feb-26 22:30:16,Union St Gilloise - Charleroi Union St Gilloise-Esito Finale | ID scommessa Betfair 1:418162008596 | ID Scommessa AdM bc000000004071e31209,Punta,1.71,"7,00", -- ," 4,97 ",Vinta
11-feb-26 20:44:23,11-feb-26 22:30:06,Inter U23 - Lumezzane Inter U23-Esito Finale | ID scommessa Betfair 1:418162040805 | ID Scommessa AdM bc000000004071e6c109,Punta,2.06,"4,00", -- ," -4,00 ",Persa
11-feb-26 22:16:36,11-feb-26 22:28:29,"York City - Hartlepool Over 2,5 goal-Over/Under 2,5 gol | ID scommessa Betfair 1:418180157269 | ID Scommessa AdM bc0000000023defb350a",Punta,1.69,"8,00", -- ," 5,52 ",Vinta
11-feb-26 21:51:28,11-feb-26 22:27:20,"San Gallo - Young Boys Over 3,5 goal-Over/Under 3,5 gol | ID scommessa Betfair 1:418175877559 | ID Scommessa AdM bc0000000023dcb1310a",Punta,2.68,"3,00", -- ," -3,00 ",Persa
11-feb-26 20:32:29,11-feb-26 22:27:00,Aston Villa - Brighton Aston Villa-Esito Finale | ID scommessa Betfair 1:418159749519 | ID Scommessa AdM bc0000000023d3b01c0a,Punta,2.14,"6,00", -- ," 6,84 ",Vinta
11-feb-26 20:46:37,11-feb-26 22:26:29,Pro Vercelli - Vicenza Vicenza-Esito Finale | ID scommessa Betfair 1:418162564826 | ID Scommessa AdM bc0000000023d53e4d0a,Punta,2.12,"3,50", -- ," 3,92 ",Vinta
11-feb-26 20:36:20,11-feb-26 22:26:24,Zurigo - Winterthur Zurigo-Esito Finale | ID scommessa Betfair 1:418160480431 | ID Scommessa AdM bc000000004071136209,Punta,2.08,"5,50", -- ," 5,94 ",Vinta
